Perturbed,Reference,PerturbedGene
A375_186_S63845,A375_186_Dropout,MCL1
A375_203_Dropout,A375_186_Dropout,MCL1
A375_204_Dropout,A375_186_Dropout,MCL1
A375_205_Dropout,A375_186_Dropout,MCL1
